epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,76.2689,1.49151,3.90598,1.79012,0.15073,0.20743,0.10674,0.05227,1.64236,3.58643,1.905,0.00998158,0.00332719,0.00998158,0.00332719,0.00998158,0.00332719,0.00998158,0.00332719
2,149.646,1.51726,3.10662,1.79359,0.20183,0.29237,0.14933,0.0748,1.65555,4.02471,1.95225,0.0197838,0.00659459,0.0197838,0.00659459,0.0197838,0.00659459,0.0197838,0.00659459
3,225.014,1.55033,2.99603,1.81318,0.19906,0.24068,0.11682,0.04982,1.90274,3.69679,2.21058,0.0293879,0.00979598,0.0293879,0.00979598,0.0293879,0.00979598,0.0293879,0.00979598
4,302.082,1.56408,2.93936,1.81283,0.26588,0.30824,0.19706,0.09216,1.74913,3.09818,2.05691,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,378.655,1.51915,2.76939,1.7782,0.31242,0.333,0.25681,0.13092,1.60877,2.58608,1.92771,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,455.201,1.49942,2.61868,1.76125,0.35707,0.35469,0.29836,0.14894,1.62543,2.50491,1.94353,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,531.7,1.48142,2.51338,1.7465,0.3659,0.37156,0.29878,0.15583,1.61329,2.52227,1.86819,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,607.657,1.46795,2.42803,1.73895,0.46893,0.44958,0.42166,0.22883,1.52326,2.06046,1.80404,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,683.94,1.45372,2.34232,1.72083,0.4885,0.49058,0.45934,0.25497,1.49584,2.04279,1.79149,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,759.67,1.4424,2.28311,1.71019,0.50529,0.48815,0.48818,0.2681,1.54317,1.86485,1.82582,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,835.658,1.43205,2.20811,1.7024,0.56331,0.50437,0.52447,0.29962,1.46226,1.80502,1.7739,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,911.289,1.42192,2.16541,1.69423,0.57954,0.52961,0.55816,0.31805,1.48529,1.68589,1.76423,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,986.832,1.41102,2.09891,1.68107,0.59536,0.54808,0.58019,0.33562,1.44981,1.58499,1.73091,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1062.35,1.4046,2.0546,1.67359,0.60222,0.58301,0.61496,0.35617,1.43607,1.51187,1.70574,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1137.9,1.39751,2.03399,1.67287,0.64297,0.60579,0.65258,0.37495,1.45583,1.44896,1.71626,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1213.24,1.38652,1.96774,1.66192,0.66077,0.6057,0.65886,0.38076,1.43558,1.394,1.70667,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1288.97,1.38435,1.95328,1.65865,0.64887,0.63982,0.68267,0.40363,1.37902,1.38121,1.66431,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
